North Esk Rv at Corra Linn,steady
St Patricks Rv at Nunamara Offtake,steady
Huon Rv at Tahune Bdge,steady
Forth Rv blw Wilmot (H),steady
Meander Rv at Meander,steady
Meander Rv at Deloraine Rwy Br (H),steady
South Esk Rv at Trevallyn Pond (H),steady
